Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2024 prevalence (%),2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
Tab 1,Online abuse and harassment,Stalking and harassing,,Female,All ages,All,3.4,,,
Tab 1,Online abuse and harassment,Stalking and harassing,,All persons,18 – 34,All,3.8,,,
Tab 1,Online abuse and harassment,Stalking and harassing,,All persons,35 – 64,All,2.9,,,
Tab 1,Online abuse and harassment,Stalking and harassing,,All persons,65+,All,1.4,,,
Tab 1,Online abuse and harassment,Stalking and harassing,,All persons,All ages,SME owner,3.7,,,
Tab 1,Online abuse and harassment,Stalking and harassing,,All persons,All ages,Not an SME owner,2.8,,,
Tab 1,Online abuse and harassment,Stalking and harassing,,All persons,All ages,All,2.9,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,Male,All ages,All,4.4,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,Female,All ages,All,3.2,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,All persons,18 – 34,All,6.4,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,All persons,35 – 64,All,3.1,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,All persons,65+,All,1.7,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,All persons,All ages,SME owner,5.9,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,All persons,All ages,Not an SME owner,3.4,,,
Tab 1,Online abuse and harassment,Controlling and restricting,,All persons,All ages,All,3.8,,,
Tab 1,Online abuse and harassment,Hate speech,,Male,All ages,All,3.3,,,
Tab 1,Online abuse and harassment,Hate speech,,Female,All ages,All,2.8,,,
Tab 1,Online abuse and harassment,Hate speech,,All persons,18 – 34,All,5.3,,,
Tab 1,Online abuse and harassment,Hate speech,,All persons,35 – 64,All,3,,,
Tab 1,Online abuse and harassment,Hate speech,,All persons,65+,All,4.1,,,
Tab 1,Online abuse and harassment,Hate speech,,All persons,All ages,SME owner,5.1,,,
Tab 1,Online abuse and harassment,Hate speech,,All persons,All ages,Not an SME owner,2.8,,,
Tab 1,Online abuse and harassment,Hate speech,,All persons,All ages,All,3.2,,,
Tab 1,Online abuse and harassment,Cyberbullying,,Male,All ages,All,5.5,,,
Tab 1,Online abuse and harassment,Cyberbullying,,Female,All ages,All,5.4,,,
Tab 1,Online abuse and harassment,Cyberbullying,,All persons,18 – 34,All,9,,,
Tab 1,Online abuse and harassment,Cyberbullying,,All persons,35 – 64,All,5.3,,,
Tab 1,Online abuse and harassment,Cyberbullying,,All persons,65+,All,1.4,,,
Tab 1,Online abuse and harassment,Cyberbullying,,All persons,All ages,SME owner,8.2,,,
Tab 1,Online abuse and harassment,Cyberbullying,,All persons,All ages,Not an SME owner,5.1,,,
Tab 1,Online abuse and harassment,Cyberbullying,,All persons,All ages,All,5.6,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,Male,All ages,All,7.9,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,Female,All ages,All,7.1,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,All persons,18 – 34,All,6.9,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,All persons,35 – 64,All,7.5,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,All persons,65+,All,8.8,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,All persons,All ages,SME owner,8.5,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,All persons,All ages,Not an SME owner,7.5,,,
Tab 1,Online abuse and harassment,Unsolicited sexual content,,All persons,All ages,All,7.6,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,Male,All ages,All,0.3,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,Female,All ages,All,0.2,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,All persons,18 – 34,All,0,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,All persons,35 – 64,All,0.3,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,All persons,65+,All,0.3,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,All persons,All ages,SME owner,0.1,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,All persons,All ages,Not an SME owner,0.2,,,
Tab 1,Online abuse and harassment,Other online abuse and harassment,,All persons,All ages,All,0.2,,,
Tab 1,Malware,Suspected malware,,Male,All ages,All,18.2,,,
Tab 1,Malware,Suspected malware,,Female,All ages,All,16.3,,,
Tab 1,Malware,Suspected malware,,All persons,18 – 34,All,20.9,,,
Tab 1,Malware,Suspected malware,,All persons,35 – 64,All,16.5,,,
Tab 1,Malware,Suspected malware,,All persons,65+,All,13.5,,,
Tab 1,Malware,Suspected malware,,All persons,All ages,SME owner,23.8,,,
Tab 1,Malware,Suspected malware,,All persons,All ages,Not an SME owner,16,,,
Tab 1,Malware,Suspected malware,,All persons,All ages,All,17.2,,,
Tab 1,Malware,Pure ransomware,,Male,All ages,All,2.9,,,
Tab 1,Malware,Pure ransomware,,Female,All ages,All,1.9,,,
Tab 1,Malware,Pure ransomware,,All persons,18 – 34,All,4.1,,,
Tab 1,Malware,Pure ransomware,,All persons,35 – 64,All,2.1,,,
Tab 1,Malware,Pure ransomware,,All persons,65+,All,0.8,,,
Tab 1,Malware,Pure ransomware,,All persons,All ages,SME owner,4.6,,,
Tab 1,Malware,Pure ransomware,,All persons,All ages,Not an SME owner,2,,,
Tab 1,Malware,Pure ransomware,,All persons,All ages,All,2.4,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,Male,All ages,All,2.6,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,Female,All ages,All,2.6,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,All persons,18 – 34,All,3.2,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,All persons,35 – 64,All,2.7,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,All persons,65+,All,1.4,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,All persons,All ages,SME owner,3.5,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,All persons,All ages,Not an SME owner,2.5,,,
Tab 1,Malware,Ransomware-related data theft and extortion,,All persons,All ages,All,2.6,,,
Tab 1,Malware,Other malware,,Male,All ages,All,0.4,,,
Tab 1,Malware,Other malware,,Female,All ages,All,0.5,,,
Tab 1,Malware,Other malware,,All persons,18 – 34,All,0,,,
Tab 1,Malware,Other malware,,All persons,35 – 64,All,0.4,,,
Tab 1,Malware,Other malware,,All persons,65+,All,1,,,
Tab 1,Malware,Other malware,,All persons,All ages,SME owner,0.3,,,
Tab 1,Malware,Other malware,,All persons,All ages,Not an SME owner,0.5,,,
Tab 1,Malware,Other malware,,All persons,All ages,All,0.4,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,Male,All ages,All,17.1,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,Female,All ages,All,17.9,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,All persons,18 – 34,All,17.2,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,All persons,35 – 64,All,17,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,All persons,65+,All,18.9,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,All persons,All ages,SME owner,20.1,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,All persons,All ages,Not an SME owner,17.1,,,
Tab 1,Identity crime and misuse,Compromise of financial accounts,,All persons,All ages,All,17.5,,,
Tab 1,Identity crime and misuse,Non financial identity compromise,,Male,All ages,All,5.8,,,
Tab 1,Identity crime and misuse,Non financial identity compromise,,Female,All ages,All,3.5,,,
Tab 1,Identity crime and misuse,Non financial identity compromise,,All persons,18 – 34,All,8,,,
Tab 1,Identity crime and misuse,Non financial identity compromise,,All persons,35 – 64,All,4.2,,,
Tab 1,Identity crime and misuse,Non financial identity compromise,,All persons,65+,All,0.9,,,
Tab 1,Identity crime and misuse,Non financial identity compromise,,All persons,All ages,SME owner,12.3,,,
